period,frame,count,total_videos_in_period,prevalence
2025-10,Climate Change,3,250,0.012000
2025-11,Nature/Tourism,80,257,0.311284
2025-11,Geopolitics,39,257,0.151751
2025-11,Knowledge/Facts,96,257,0.373541
2025-11,Indigenous Life,33,257,0.128405
2025-11,Climate Change,9,257,0.035019
2025-12,Nature/Tourism,39,290,0.134483
2025-12,Geopolitics,143,290,0.493103
2025-12,Knowledge/Facts,78,290,0.268966
2025-12,Indigenous Life,28,290,0.096552
2025-12,Climate Change,2,290,0.006897
2026-01,Nature/Tourism,67,1491,0.044936
2026-01,Geopolitics,1213,1491,0.813548
2026-01,Knowledge/Facts,156,1491,0.104628
2026-01,Indigenous Life,50,1491,0.033535
2026-01,Climate Change,5,1491,0.003353
2026-02,Nature/Tourism,249,2249,0.110716
2026-02,Geopolitics,1497,2249,0.665629
2026-02,Knowledge/Facts,382,2249,0.169853
2026-02,Indigenous Life,91,2249,0.040462
2026-02,Climate Change,30,2249,0.013339
2026-03,Nature/Tourism,418,2680,0.155970
2026-03,Geopolitics,1403,2680,0.523507
2026-03,Knowledge/Facts,609,2680,0.227239
2026-03,Indigenous Life,197,2680,0.073507
2026-03,Climate Change,53,2680,0.019776
2026-04,Nature/Tourism,264,1489,0.177300
2026-04,Geopolitics,718,1489,0.482203
2026-04,Knowledge/Facts,355,1489,0.238415
2026-04,Indigenous Life,119,1489,0.079919
2026-04,Climate Change,33,1489,0.022163
